excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
456,exact_match,697792902e40cca8d4f82878,St. Joseph Jr YMCA,Toronto-Danforth,Toronto,"176 Leslie Street, Toronto, ON M4M 3C7",St. Joseph Jr YMCA,Toronto-Danforth,Toronto,"176 Leslie Street, Toronto, ON M4M 3C7"
457,exact_match,6977928e2e40cca8d4f827ce,St. Lawrence Co-Operative Day Care (2 Princess Street),Spadina-Fort York,Toronto,"2 Princess St, Toronto, ON M5A 4G6",St. Lawrence Co-Operative Day Care (2 Princess Street),Spadina-Fort York,Toronto,"2 Princess St, Toronto, ON M5A 4G6"
458,exact_match,697792902e40cca8d4f8288d,St. Lawrence Co-Operative Day Care School Age (230 The Esplanade),Toronto Centre,Toronto,"230 The Esplanade, Toronto, ON M5A 4J6",St. Lawrence Co-Operative Day Care School Age (230 The Esplanade),Toronto Centre,Toronto,"230 The Esplanade, Toronto, ON M5A 4J6"
459,exact_match,697792902e40cca8d4f8281f,St. Lawrence Infant Toddler Centre (4 Market Street),Spadina-Fort York,Toronto,"4 Market St, Toronto, ON M5E 1M6",St. Lawrence Infant Toddler Centre (4 Market Street),Spadina-Fort York,Toronto,"4 Market St, Toronto, ON M5E 1M6"
460,exact_match,697792902e40cca8d4f8295f,St. Leo's YMCA Child Care,Etobicoke-Lakeshore,Toronto,"271 Royal York Road, Toronto, ON M8V 2V8",St. Leo's YMCA Child Care,Etobicoke-Lakeshore,Toronto,"271 Royal York Road, Toronto, ON M8V 2V8"
461,exact_match,697792962e40cca8d4f82d34,St. Michael And All Angels Day Care Centre,Toronto-St. Paul's,Toronto,"611 St Clair Ave W, Toronto, ON M6C 1A3",St. Michael And All Angels Day Care Centre,Toronto-St. Paul's,Toronto,"611 St Clair Ave W, Toronto, ON M6C 1A3"
462,exact_match,697792902e40cca8d4f82961,St. Monica's Satellite (Central Eglinton),Don Valley West,Toronto,"14 Broadway Avenue, Toronto, Ontario, M4P 1T4",St. Monica's Satellite (Central Eglinton),Don Valley West,Toronto,"14 Broadway Avenue, Toronto, Ontario, M4P 1T4"
463,exact_match,697792962e40cca8d4f82d35,St. Nicholas Child Care Centre - Network,Scarborough-Agincourt,Toronto,"1020 McNicoll Ave, Scarborough, ON M1W 2J6",St. Nicholas Child Care Centre - Network,Scarborough-Agincourt,Toronto,"1020 McNicoll Ave, Scarborough, ON M1W 2J6"
464,exact_match,697792902e40cca8d4f82962,St. Robert School Age YMCA,York Centre,Toronto,"70 Bainbridge Avenue, Toronto, ON M3H 2K2",St. Robert School Age YMCA,York Centre,Toronto,"70 Bainbridge Avenue, Toronto, ON M3H 2K2"
465,exact_match,6977928e2e40cca8d4f82753,St. Rose Of Lima YMCA Child Care,Scarborough-Guildwood,Toronto,"3220 Lawrence Avenue, Scarborough, ON M1H 1A4",St. Rose Of Lima YMCA Child Care,Scarborough-Guildwood,Toronto,"3220 Lawrence Avenue, Scarborough, ON M1H 1A4"
466,exact_match,6977928e2e40cca8d4f82754,St. Sylvester Child Care Centre,Scarborough-Agincourt,Toronto,"260 Silver Springs Boulevard, Toronto, ON M1V 3H7",St. Sylvester Child Care Centre,Scarborough-Agincourt,Toronto,"260 Silver Springs Boulevard, Toronto, ON M1V 3H7"
467,exact_match,697792902e40cca8d4f82963,St. Timothy YMCA Child Care,Don Valley North,Toronto,"2141 Deer Run Avenue Burlington, ON L7M 4C7",St. Timothy YMCA Child Care,Don Valley North,Toronto,"2141 Deer Run Avenue Burlington, ON L7M 4C7"
468,exact_match,697792902e40cca8d4f82965,St. Wilfrid YMCA Before and After School Program,Humber River-Black Creek,Toronto,"1685 Finch Avenue West, North York, ON M3J 2G8",St. Wilfrid YMCA Before and After School Program,Humber River-Black Creek,Toronto,"1685 Finch Avenue West, North York, ON M3J 2G8"
469,exact_match,697792962e40cca8d4f82d3b,Sunnyside Day Care - Roncesvalles,Parkdale-High Park,Toronto,"10 High Park Blvd, Toronto, ON M6R 1M4, Canada",Sunnyside Day Care - Roncesvalles,Parkdale-High Park,Toronto,"10 High Park Blvd, Toronto, ON M6R 1M4, Canada"
470,exact_match,697792962e40cca8d4f82d6b,Sunnyside - Keele,Parkdale-High Park,Toronto,"236 Keele St, Toronto, ON M6P 2K3, Canada",Sunnyside - Keele,Parkdale-High Park,Toronto,"236 Keele St, Toronto, ON M6P 2K3, Canada"
471,partial_match,6977928e2e40cca8d4f824ba,"Taylor Creek Public School, Extended Day Program",Scarborough¬†Southwest,Toronto,"644 Warden Ave, Scarborough, ON, M1L 3Z3","Taylor Creek Public School, Extended Day Program",Scarborough Southwest,Toronto,"644 Warden Ave, Scarborough, ON, M1L 3Z3"
472,exact_match,697792902e40cca8d4f82817,Teddy Bear Academy,Parkdale-High Park,Toronto,"167 High Park Ave, Toronto, ON M6P 2S3, Canada",Teddy Bear Academy,Parkdale-High Park,Toronto,"167 High Park Ave, Toronto, ON M6P 2S3, Canada"
473,exact_match,697792902e40cca8d4f827fc,Temple Sinai Nursery School,Eglington-Lawrence,Toronto,"210 Wilson Ave, North York, ON M5M 3B1, Canada",Temple Sinai Nursery School,Eglington-Lawrence,Toronto,"210 Wilson Ave, North York, ON M5M 3B1, Canada"
474,exact_match,6977928e2e40cca8d4f82480,Tfs Canada's International School (Mildenhall Branch),Don Valley West,Toronto,"306 Lawrence Ave E, North York, ON M4N 1T7, Canada",Tfs Canada's International School (Mildenhall Branch),Don Valley West,Toronto,"306 Lawrence Ave E, North York, ON M4N 1T7, Canada"
