status,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
exact_match,Plasp St. Pius X Catholic School,Parkdale-High Park,Toronto,"71 Jane St, Toronto, ON M6S 3Y3",Plasp St. Pius X Catholic School,Parkdale-High Park,Toronto,"71 Jane St, Toronto, ON M6S 3Y3"
exact_match,Plasp St. Simon C.S.,Humber River-Black Creek,Toronto,"24 Strathburn Blvd, North York, ON M9M 2K3",Plasp St. Simon C.S.,Humber River-Black Creek,Toronto,"24 Strathburn Blvd, North York, ON M9M 2K3"
exact_match,Plasp Steelesview Public School,Don Valley North,Toronto,"105 Bestview Dr, North York, ON M2M 2Y1",Plasp Steelesview Public School,Don Valley North,Toronto,"105 Bestview Dr, North York, ON M2M 2Y1"
exact_match,Plasp St Eugene Catholic School,Etobicoke Centre,Toronto,"30 Westroyal Rd, Etobicoke, ON M9P 2C3",Plasp St Eugene Catholic School,Etobicoke Centre,Toronto,"30 Westroyal Rd, Etobicoke, ON M9P 2C3"
exact_match,Plasp Sts. Cosmas And Damian C.S,Eglington-Lawrence,Toronto,"111 Danesbury Ave, Toronto, ON M6B 3L3",Plasp Sts. Cosmas And Damian C.S,Eglington-Lawrence,Toronto,"111 Danesbury Ave, Toronto, ON M6B 3L3"
exact_match,Plasp Transfiguration Of Our Lord Catholic School,Etobicoke Centre,Toronto,"55 Ludstone Dr, Toronto, ON M9R 2J2",Plasp Transfiguration Of Our Lord Catholic School,Etobicoke Centre,Toronto,"55 Ludstone Dr, Toronto, ON M9R 2J2"
exact_match,Plasp Twentieth Street Junior School,Etobicoke-Lakeshore,Toronto,"3190 Lake Shore Blvd W, Etobicoke, ON M8V 1L8",Plasp Twentieth Street Junior School,Etobicoke-Lakeshore,Toronto,"3190 Lake Shore Blvd W, Etobicoke, ON M8V 1L8"
exact_match,Play And Grow Child Care Centre,Willowdale,Toronto,"227 Drewry Ave, North York, ON M2M 1E3",Play And Grow Child Care Centre,Willowdale,Toronto,"227 Drewry Ave, North York, ON M2M 1E3"
exact_match,Play Loft,Toronto-Danforth,Toronto,"583 Danforth Ave 2nd floor, Toronto, ON M4K 1P9",Play Loft,Toronto-Danforth,Toronto,"583 Danforth Ave 2nd floor, Toronto, ON M4K 1P9"
exact_match,Pleasant Child Care Of North York,Willowdale,Toronto,"288 Pleasant Ave, North York, ON M2M 1M3",Pleasant Child Care Of North York,Willowdale,Toronto,"288 Pleasant Ave, North York, ON M2M 1M3"
exact_match,Port Royal Jr YMCA,Scarborough North,Toronto,"410 Port Royal Trail, Scarborough, ON M1V 4R1",Port Royal Jr YMCA,Scarborough North,Toronto,"410 Port Royal Trail, Scarborough, ON M1V 4R1"
exact_match,Precious Blood Jr YMCA Elp,Scarborough Centre,Toronto,"1035 Pharmacy Avenue, Scarborough, ON M1R 2G8",Precious Blood Jr YMCA Elp,Scarborough Centre,Toronto,"1035 Pharmacy Avenue, Scarborough, ON M1R 2G8"
exact_match,Prosserman Jcc - Daycare And Preschool,York Centre,Toronto,"4588 Bathurst St, North York, ON M2R 3V3",Prosserman Jcc - Daycare And Preschool,York Centre,Toronto,"4588 Bathurst St, North York, ON M2R 3V3"
exact_match,Purple Tree Child Care Inc.,Don Valley West,Toronto,"384 Soudan Ave, Toronto, ON M4S 1W8",Purple Tree Child Care Inc.,Don Valley West,Toronto,"384 Soudan Ave, Toronto, ON M4S 1W8"
exact_match,Queen's Park Child Care Centre,University-Rosedale,Toronto,"7 Queen's Park Cres E, Toronto, ON M7A 1Z5",Queen's Park Child Care Centre,University-Rosedale,Toronto,"7 Queen's Park Cres E, Toronto, ON M7A 1Z5"
exact_match,Queen Street Childcare Centre,Spadina-Fort York,Toronto,"10 White Squirrel Way, Toronto, ON M6J 1H4",Queen Street Childcare Centre,Spadina-Fort York,Toronto,"10 White Squirrel Way, Toronto, ON M6J 1H4"
exact_match,Queen Victoria Child Care Centre,Parkdale-High Park,Toronto,"100 Close Ave, Toronto, ON M6K 2V3",Queen Victoria Child Care Centre,Parkdale-High Park,Toronto,"100 Close Ave, Toronto, ON M6K 2V3"
exact_match,Ranleigh Rascals,Don Valley West,Toronto,"81 Ranleigh Ave, Toronto, ON M4N 1X2",Ranleigh Rascals,Don Valley West,Toronto,"81 Ranleigh Ave, Toronto, ON M4N 1X2"
exact_match,Rawlinson B & A School Program,Davenport,Toronto,"231 Glenholme Ave, York, ON M6E 3C7",Rawlinson B & A School Program,Davenport,Toronto,"231 Glenholme Ave, York, ON M6E 3C7"
exact_match,Rec Room Child Care,Etobicoke-Lakeshore,Toronto,"255 Royal York Rd, Etobicoke, ON M8V 2V8",Rec Room Child Care,Etobicoke-Lakeshore,Toronto,"255 Royal York Rd, Etobicoke, ON M8V 2V8"
exact_match,Rec Room Child Care @mimico,Etobicoke-Lakeshore,Toronto,"46 Mimico Ave, Etobicoke, ON M8V 1R1",Rec Room Child Care @mimico,Etobicoke-Lakeshore,Toronto,"46 Mimico Ave, Etobicoke, ON M8V 1R1"
exact_match,Red Apple Day Care (Overlea),Don Valley West,Toronto,"135 Overlea Blvd, North York, ON M3C 1B3",Red Apple Day Care (Overlea),Don Valley West,Toronto,"135 Overlea Blvd, North York, ON M3C 1B3"
exact_match,Red Apple Day Care - Rouge Valley,Scarborough-Rouge Park,Toronto,8450 Sheppard Avenue East Toronto ON M1B 5R4,Red Apple Day Care - Rouge Valley,Scarborough-Rouge Park,Toronto,8450 Sheppard Avenue East Toronto ON M1B 5R4
exact_match,Red Apple Day Care - Grenoble,Don Valley East,Toronto,175 Grenoble Drive Toronto ON M3C 3E7,Red Apple Day Care - Grenoble,Don Valley East,Toronto,175 Grenoble Drive Toronto ON M3C 3E7
exact_match,Rene Gordon School Age YMCA,Don Valley East,Toronto,"20 Karen Road, Toronto, ON M3A 3L6",Rene Gordon School Age YMCA,Don Valley East,Toronto,"20 Karen Road, Toronto, ON M3A 3L6"
exact_match,Rippleton Roadsters Child Care Program,Don Valley West,Toronto,"21 Rippleton Rd, North York, ON M3B 1H4",Rippleton Roadsters Child Care Program,Don Valley West,Toronto,"21 Rippleton Rd, North York, ON M3B 1H4"
